Title,Year,IMDB Rating,Rated,Duration,Genre,Metascore,Votes,Gross USD
The Big Short,2015,7.8,R,130 min,"Biography, Comedy, Drama",81,"449,791",$70.26M
Mad Max: Fury Road,2015,8.1,R,120 min,"Action, Adventure, Sci-Fi",90,"1,034,598",$154.06M
The Hateful Eight,2015,7.8,R,168 min,"Crime, Drama, Mystery",68,"626,566",$54.12M
Inside Out,2015,8.1,PG,95 min,"Animation, Adventure, Comedy",94,"741,126",$356.46M
The Revenant,2015,8.0,R,156 min,"Action, Adventure, Drama",76,"830,989",$183.64M
Spotlight,2015,8.1,R,129 min,"Biography, Crime, Drama",93,"484,027",$45.06M
Room,2015,8.1,R,118 min,"Drama, Thriller",86,"433,390",$14.68M
Bridge of Spies,2015,7.6,PG-13,142 min,"Drama, History, Thriller",81,"319,299",$72.31M
Spectre,2015,6.8,PG-13,148 min,"Action, Adventure, Thriller",0,"452,175",$200.07M
The Danish Girl,2015,7.1,R,119 min,"Biography, Crime, Drama",66,"193,050",$11.11M
Son of Saul,2015,7.4,R,107 min,"Drama, War",91,"50,276",$1.78M
Amy,2015,7.8,R,128 min,"Documentary, Biography, Music",85,"53,543",$8.41M
A Girl in the River: The Price of Forgiveness,2015,7.9,Not Rated,40 min,"Documentary, Short",0,"1,715",
Stutterer,2015,7.7,PG,12 min,"Short, Drama, Romance",0,"3,184",
