Title,Year,IMDB Rating,Rated,Duration,Genre,Metascore,Votes,Gross USD
Her,2013,8.0,R,126 min,"Drama, Romance, Sci-Fi",91,"639,022",$25.57M
Frozen,2013,7.4,PG,102 min,"Animation, Adventure, Comedy",75,"641,718",$400.74M
12 Years a Slave,2013,8.1,R,134 min,"Biography, Drama, History",96,"718,025",$56.67M
The Great Gatsby,2013,7.2,PG-13,143 min,"Drama, Romance",0,"567,911",$144.84M
Dallas Buyers Club,2013,7.9,R,117 min,"Biography, Drama",77,"502,215",$27.30M
Gravity,2013,7.7,PG-13,91 min,"Drama, Sci-Fi, Thriller",96,"842,475",$274.09M
Blue Jasmine,2013,7.3,PG-13,98 min,"Comedy, Drama",78,"208,268",$33.41M
The Great Beauty,2013,7.7,Not Rated,141 min,Drama,86,"94,345",$2.85M
Ida,2013,7.4,PG-13,82 min,Drama,91,"59,253",$3.83M
Twenty Feet from Stardom,2013,7.4,PG-13,91 min,"Documentary, Biography, History",83,"13,640",$4.95M
The Phone Call,2013,7.4,TV-14,22 min,"Short, Drama",0,"2,855",
The Lady in Number 6: Music Saved My Life,2013,8.0,Not Rated,39 min,"Documentary, Short, Biography",0,977,
Helium,2013,7.2,Not Rated,22 min,"Short, Drama, Family",0,"2,465",
Mr Hublot,2013,7.2,Not Rated,11 min,"Animation, Short, Comedy",0,"5,126",
Crisis Hotline: Veterans Press 1,2013,7.5,TV-14,40 min,"Documentary, Short",0,592,
