Title,Year,IMDB Rating,Rated,Duration,Genre,Metascore,Votes,Gross USD
The Help,2011,8.1,PG-13,146 min,Drama,62,"474,278",$169.71M
The Girl with the Dragon Tattoo,2011,7.8,R,158 min,"Crime, Drama, Mystery",71,"475,890",$102.52M
Rango,2011,7.2,PG,107 min,"Animation, Action, Adventure",75,"279,951",$123.48M
Midnight in Paris,2011,7.7,PG-13,94 min,"Comedy, Fantasy, Romance",81,"436,118",$56.82M
Hugo,2011,7.5,PG,126 min,"Adventure, Drama, Family",83,"329,367",$73.86M
A Separation,2011,8.3,PG-13,123 min,Drama,95,"250,261",$7.10M
The Descendants,2011,7.3,R,115 min,"Comedy, Drama",84,"245,898",$82.58M
The Artist,2011,7.9,PG-13,100 min,"Comedy, Drama, Romance",89,"245,177",$44.67M
The Muppets,2011,7.1,PG,103 min,"Adventure, Comedy, Family",75,"94,862",$88.63M
The Iron Lady,2011,6.4,PG-13,105 min,"Biography, Drama",0,"111,720",$30.02M
Undefeated,2011,7.7,PG-13,113 min,"Documentary, Sport",71,"7,205",$0.56M
The Fantastic Flying Books of Mr. Morris Lessmore,2011,7.9,TV-G,15 min,"Animation, Short, Adventure",0,"5,715",
The Shore,2011,6.8,Not Rated,29 min,"Short, Comedy, Drama",0,"1,053",
