Title,Year,IMDB Rating,Rated,Duration,Genre,Metascore,Votes,Gross USD
Interstellar,2014,8.7,PG-13,169 min,"Adventure, Drama, Sci-Fi",74,"1,927,308",$188.02M
The Grand Budapest Hotel,2014,8.1,R,99 min,"Adventure, Comedy, Crime",88,"843,603",$59.10M
Whiplash,2014,8.5,R,106 min,"Drama, Music",89,"911,550",$13.09M
Ex Machina,2014,7.7,R,108 min,"Drama, Sci-Fi, Thriller",78,"564,004",$25.44M
American Sniper,2014,7.3,R,133 min,"Action, Biography, Drama",72,"505,583",$350.13M
The Imitation Game,2014,8.0,PG-13,114 min,"Biography, Drama, Thriller",71,"791,789",$91.13M
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,R,119 min,"Comedy, Drama",87,"647,327",$42.34M
Big Hero 6,2014,7.8,PG,102 min,"Animation, Action, Adventure",74,"479,201",$222.53M
Boyhood,2014,7.9,R,165 min,Drama,100,"360,748",$25.38M
The Theory of Everything,2014,7.7,PG-13,123 min,"Biography, Drama, Romance",71,"465,171",$35.89M
Still Alice,2014,7.5,PG-13,101 min,Drama,72,"139,743",$18.75M
Selma,2014,7.5,PG-13,128 min,"Biography, Drama, History",79,"93,497",$52.08M
Citizenfour,2014,8.0,R,114 min,"Documentary, Biography, History",88,"56,855",$2.80M
Feast,2014,8.2,G,6 min,"Animation, Short, Comedy",0,"23,623",
Bear Story,2014,7.6,G,11 min,"Animation, Short, Adventure",0,"3,488",
