Title,Year,IMDB Rating,Rated,Duration,Genre,Metascore,Votes,Gross USD
Django Unchained,2012,8.4,R,165 min,"Drama, Western",81,"1,607,834",$162.81M
Silver Linings Playbook,2012,7.7,R,122 min,"Comedy, Drama, Romance",81,"723,429",$132.09M
Les Misérables,2012,7.5,PG-13,158 min,"Drama, Musical, Romance",63,"337,392",$148.81M
Argo,2012,7.7,R,120 min,"Biography, Drama, Thriller",86,"626,290",$136.03M
Zero Dark Thirty,2012,7.4,R,157 min,"Drama, History, Thriller",95,"310,138",$95.72M
Skyfall,2012,7.8,PG-13,143 min,"Action, Adventure, Thriller",81,"711,526",$304.36M
Life of Pi,2012,7.9,PG,127 min,"Adventure, Drama, Fantasy",79,"647,288",$124.99M
Lincoln,2012,7.3,PG-13,150 min,"Biography, Drama, History",87,"266,281",$182.21M
Brave,2012,7.1,PG,93 min,"Animation, Adventure, Comedy",69,"425,430",$237.28M
Anna Karenina,2012,6.6,R,129 min,"Drama, Romance",63,"103,455",$12.82M
Amour,2012,7.9,PG-13,127 min,Drama,95,"103,151",$6.74M
Searching for Sugar Man,2012,8.2,PG-13,86 min,"Documentary, Biography, Music",79,"70,410",$3.97M
Paperman,2012,8.2,G,7 min,"Animation, Short, Comedy",0,"34,538",
Curfew,2012,7.8,PG-13,19 min,"Short, Drama",0,"6,901",
Saving Face,2012,8.0,Not Rated,40 min,"Documentary, Short, Drama",0,"1,450",
Inocente,2012,7.3,Not Rated,40 min,"Documentary, Short, Biography",0,366,$2.14M
